session,task,run,subj,name,trial.type,iti,cue,probe,target.color,location,cue.cresp,target.cresp,cue.rt,cue.acc,cue.resp,target.rt,target.acc,resp,trialacc,time.cue.onset.abs,time.target.onset.abs,time.target.rt.abs,time.cue.rt.abs,time.scan.start,trial.num,acc,time.cue.onset,time.cue.rt,time.target.onset,time.target.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off
bas,axc,2,130518,bas_axc_run2_130518,BY,2800,N,H,white,center,1,1,375,1,1,339,1,1,1,76456,81255,81594,76831,29041,3,1,47.415,47.79,52.214,52.553,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,1600,P,C,white,center,1,1,464,1,1,330,1,1,1,84855,89654,89984,85319,29041,4,1,55.814,56.278,60.613,60.943,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,4000,U,F,white,center,1,1,285,1,1,284,1,1,1,92054,96853,97137,92339,29041,5,1,63.013,63.298,67.812,68.096,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BX,1600,H,X,white,center,1,1,374,1,1,309,1,1,1,101652,106451,106760,102026,29041,6,1,72.611,72.985,77.41,77.719,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,1600,P,T,white,center,1,1,324,1,1,382,1,1,1,108851,113650,114032,109175,29041,7,1,79.81,80.134,84.609,84.991,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AY,2800,A,F,white,center,1,1,762,1,1,512,1,1,1,116050,120849,121361,116812,29041,8,1,87.009,87.771,91.808,92.32,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,364,1,1,321,1,2,1,124449,129248,129569,124813,29041,9,1,95.408,95.772,100.207,100.528,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,483,1,1,303,1,2,1,134047,138846,139149,134530,29041,10,1,105.006,105.489,109.805,110.108,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,4000,H,F,white,center,1,1,323,1,1,637,1,1,1,143645,148445,149082,143968,29041,11,1,114.604,114.927,119.404,120.041,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,1600,A,X,white,center,1,2,283,1,1,352,1,2,1,153244,158043,158395,153527,29041,12,1,124.203,124.486,129.002,129.354,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,480,1,1,295,1,2,1,160443,165242,165537,160923,29041,13,1,131.402,131.882,136.201,136.496,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,4000,F,H,white,center,1,1,330,1,1,553,1,1,1,170041,174857,175410,170371,29041,14,1,141,141.33,145.816,146.369,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,1600,A,X,white,center,1,2,463,1,1,345,1,2,1,179656,184456,184801,180119,29041,15,1,150.615,151.078,155.415,155.76,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AY,1600,A,C,white,center,1,1,494,1,1,508,1,1,1,186855,191654,192162,187349,29041,16,1,157.814,158.308,162.613,163.121,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Ang,2800,A,2,white,center,1,,363,1,1,262,0,1,0,194054,198853,199115,194417,29041,17,0,165.013,165.376,169.812,170.074,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Bng,1600,M,8,white,center,1,,313,1,1,0,1,,1,202453,207252,0,202766,29041,18,1,173.412,173.725,178.211,-29.041,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,2800,T,H,white,center,1,1,396,1,1,519,1,1,1,209652,214451,214970,210048,29041,19,1,180.611,181.007,185.41,185.929,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,2800,A,X,white,center,1,2,436,1,1,455,1,2,1,218050,222849,223304,218486,29041,20,1,189.009,189.445,193.808,194.263,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Bng,4000,H,1,white,center,1,,337,1,1,0,1,,1,226449,231248,0,226786,29041,21,1,197.408,197.745,202.207,-29.041,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,2800,U,T,white,center,1,1,570,1,1,518,1,1,1,236047,240847,241365,236617,29041,22,1,207.006,207.576,211.806,212.324,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,1600,A,X,white,center,1,2,364,1,1,349,1,2,1,244446,249245,249594,244810,29041,23,1,215.405,215.769,220.204,220.553,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,237,1,1,335,1,2,1,251645,256444,256779,251882,29041,24,1,222.604,222.841,227.403,227.738,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AY,4000,A,P,white,center,1,1,508,1,1,600,1,1,1,291255,296054,296654,291763,29041,25,1,262.214,262.722,267.013,267.613,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,330,1,1,433,1,2,1,300854,305653,306086,301184,29041,26,1,271.813,272.143,276.612,277.045,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,2800,F,D,white,center,1,1,317,1,1,538,1,1,1,310452,315251,315789,310769,29041,27,1,281.411,281.728,286.21,286.748,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Bng,1600,U,6,white,center,1,,443,1,1,0,1,,1,318851,323650,0,319294,29041,28,1,289.81,290.253,294.609,-29.041,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,2800,T,P,white,center,1,1,330,1,1,372,1,1,1,326050,330849,331221,326380,29041,29,1,297.009,297.339,301.808,302.18,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,528,1,1,471,1,2,1,334448,339248,339719,334976,29041,30,1,305.407,305.935,310.207,310.678,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Ang,1600,A,4,white,center,1,,455,1,1,0,1,,1,344047,348846,0,344502,29041,31,1,315.006,315.461,319.805,-29.041,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AY,1600,A,U,white,center,1,1,534,1,1,500,1,1,1,351246,356045,356545,351780,29041,32,1,322.205,322.739,327.004,327.504,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,394,1,1,471,1,2,1,358445,363244,363715,358839,29041,33,1,329.404,329.798,334.203,334.674,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Ang,2800,A,8,white,center,1,,297,1,1,0,1,,1,368043,372842,0,368340,29041,34,1,339.002,339.299,343.801,-29.041,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,1600,A,X,white,center,1,2,268,1,1,516,1,2,1,376442,381241,381757,376710,29041,35,1,347.401,347.669,352.2,352.716,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,2800,D,U,white,center,1,1,258,1,1,289,1,1,1,383657,388456,388745,383915,29041,36,1,354.616,354.874,359.415,359.704,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,4000,H,C,white,center,1,1,367,1,1,391,1,1,1,392056,396855,397246,392423,29041,37,1,363.015,363.382,367.814,368.205,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,1600,A,X,white,center,1,2,462,1,1,399,1,2,1,401654,406454,406853,402116,29041,38,1,372.613,373.075,377.413,377.812,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,4000,A,X,white,center,1,2,564,1,1,308,1,2,1,408853,413652,413960,409417,29041,39,1,379.812,380.376,384.611,384.919,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,AX,2800,A,X,white,center,1,2,393,1,1,470,1,2,1,418452,423251,423721,418845,29041,40,1,389.411,389.804,394.21,394.68,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BY,1600,D,C,white,center,1,1,414,1,1,373,1,1,1,426850,431649,432022,427264,29041,41,1,397.809,398.223,402.608,402.981,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,Bng,2800,D,3,white,center,1,,0,0,,0,1,,0,434049,438848,0,0,29041,42,0,405.008,-29.041,409.807,-29.041,28.402,260.015,491.611,231.619,463.215,694.812
bas,axc,2,130518,bas_axc_run2_130518,BX,1600,N,X,white,center,1,1,442,1,1,385,1,1,1,442448,447247,447632,442890,29041,43,1,413.407,413.849,418.206,418.591,28.402,260.015,491.611,231.619,463.215,694.812
